Ind,authors,title,year,is_cited_own_paper,is_of_interest
139,L. F. Cugliandolo; M. Mueller,Quantum Glasses -- a review,2022,False,True
140,John Preskill,The Physics of Quantum Information,2022,False,True
141,G. E. Volovik,Particle creation: Schwinger + Unruh + Hawking,2022,False,True
142,Luca D'Alessio; Yariv Kafri; Anatoli Polkovnikov; Marcos Rigol,From quantum chaos and eigenstate thermalization to statistical mechanics and thermodynamics,2016,True,True
143,Matthew Headrick; Sam Kitchen; Toby Wiseman,A new approach to static numerical relativity and its application to Kaluza–Klein black holes,2010,True,True
144,John F. Donoghue,Quantum General Relativity and Effective Field Theory,2023,False,True
145,Joshua M Deutsch,Eigenstate thermalization hypothesis,2018,False,True
146,Ignacio García-Mata; Rodolfo A. Jalabert; Diego A. Wisniacki,Out-of-time-order correlators and quantum chaos,2023,False,True
147,Xinyi Chen-Lin; Luca V. Delacrétaz; Sean A. Hartnoll,Theory of Diffusive Fluctuations,2019,False,True
148,Matteo Broccoli,Aspects of Conformal Field Theory,2022,False,True
149,Gary T. Horowitz; Maciej Kolanowski; Jorge E. Santos,Almost all extremal black holes in AdS are singular,2023,False,True
150,Roberto Emparan; Raimon Luna; Ryotaku Suzuki; Marija Tomašević; Benson Way,Holographic duals of evaporating black holes,2023,False,True
151,Kakeru Sugiura; Daichi Takeda,Bulk reconstruction of AdS$_{d+1}$ metrics and developing kinematic space,2023,False,True
152,Emile Pangburn; Anurag Banerjee; Herman Freire; Catherine Pépin,Incoherent transport in a model for the strange metal phase: Memory-matrix formalism,2023,False,True
153,Federica Devoto; Simone Devoto; Luca Di Luzio; Giovanni Ridolfi,False vacuum decay: an introductory review,2022,False,True
154,Laurin J. Felder,Quasi-Coherent States on Deformed Quantum Geometries,2023,False,True
155,Alexander Frenkel; Sean A. Hartnoll,Emergent Area Laws from Entangled Matrices,2023,False,True
156,Lee C. Loveridge,"Physical and Geometric Interpretations of the Riemann Tensor, Ricci Tensor, and Scalar Curvature",2004,False,True
157,Sergio B. Juárez,Quantum Information Geometry and its classical aspect,2023,False,True
158,Pedro R. S. Gomes,An Introduction to Higher-Form Symmetries,2023,False,True
159,Diego Liska; Vladimir Gritsev; Ward Vleeshouwers; Jiří Minář,Holographic Quantum Scars,2023,False,True
160,Giampaolo Co',Introducing the Random Phase Approximation Theory,2023,False,True
161,Chi-Fang Chen; Andrew Lucas; Chao Yin,Speed limits and locality in many-body quantum dynamics,2023,False,True
162,Daniel Harlow; Ben Heidenreich; Matthew Reece; Tom Rudelius,The Weak Gravity Conjecture: A Review,2023,False,True
163,Lars Fritz; Thomas Scaffidi,Hydrodynamic electronic transport,2023,True,True
164,Jürg Fröhlich,Gauge Invariance and Anomalies in Condensed Matter Physics,2023,False,True
165,D. K. Watson,"The Pauli principle in collective motion: Reimagining and reinterpreting Cooper pairs, the Fermi sea, Pauli blocking and superfluidity",2023,False,True
166,David Tong,A gauge theory for shallow water,2023,False,True
167,Aritra Ghosh; Malay Bandyopadhyay; Sushanta Dattagupta; Shamik Gupta,Quantum Brownian Motion: A Review,2023,False,True
168,Konstantin Wernli,Six lectures on Geometric Quantization,2023,False,True
169,Michael F. Wondrak; Walter D. Van Suijlekom; Heino Falcke,Gravitational Pair Production and Black Hole Evaporation,2023,False,True
170,Alexander Krikun,Numerical Solution of the Boundary Value Problems for Partial Differential Equations. Crash course for holographer,2018,True,True
