,0,1,2,3,concat_topics
Andre_K._Geim,3,6,9,11,3 6 9 11
Shahal_Ilani,3,6,9,11,3 6 9 11
Yi_Ling,1,3,7,9,1 3 7 9
Jian-Pin_Wu,1,3,7,9,1 3 7 9
Yongjun_Ahn,1,2,5,9,1 2 5 9
Viktor_Jahnke,1,2,9,10,1 2 9 10
Hyun-Sik_Jeong,1,2,3,9,1 2 3 9
Keun-Young_Kim,1,2,5,9,1 2 5 9
Makoto_Natsuume,1,2,6,9,1 2 6 9
Takashi_Okamura,1,2,6,8,1 2 6 8
Koji_Hashimoto,1,4,8,9,1 4 8 9
Norihiro_Tanahashi,1,2,4,10,1 2 4 10
Ryota_Watanabe,1,4,7,9,1 4 7 9
Tomohiro_Harada,1,2,8,11,1 2 8 11
Takaaki_Ishii,1,2,8,11,1 2 8 11
Takuya_Katagiri,1,2,8,11,1 2 8 11
B._Michon,3,5,7,9,3 5 7 9
C._Berthod,3,5,7,9,3 5 7 9
C._W._Rischau,3,5,7,9,3 5 7 9
A._Ataei,3,5,7,9,3 5 7 9
L._Chen,3,6,7,9,3 6 7 9
S._Komiya,3,5,7,9,3 5 7 9
S._Ono,3,5,7,9,3 5 7 9
L._Taillefer,3,6,7,9,3 6 7 9
D._van_der_Marel,3,5,7,9,3 5 7 9
A._Georges,3,5,7,9,3 5 7 9
S._L._Sondhi,1,3,4,7,1 3 4 7
S._M._Girvin,3,6,7,10,3 6 7 10
J._P._Carini,1,3,4,7,1 3 4 7
D._Shahar,1,3,4,7,1 3 4 7
Sašo_Grozdanov,1,2,5,9,1 2 5 9
Timotej_Lemut,1,4,7,9,1 4 7 9
Juan_F._Pedraza,1,2,8,9,1 2 8 9
Navid_Abbasi,1,5,7,9,1 5 7 9
Karl_Landsteiner,1,3,7,8,1 3 7 8
Mike_Blake,1,2,4,9,1 2 4 9
P._Kovtun,1,2,8,9,1 2 8 9
D._T._Son,1,2,8,9,1 2 8 9
A._O._Starinets,1,2,8,9,1 2 8 9
Vinay_Malvimat,1,2,8,9,1 2 8 9
Ritam_Sinha,1,3,4,8,1 3 4 8
Andrei_O._Starinets,1,2,6,9,1 2 6 9
Petar_Tadić,1,2,5,9,1 2 5 9
Mauricio_Martinez,1,5,8,9,1 5 8 9
Thomas_Schaefer,5,8,9,12,5 8 9 12
Guy_D._Moore,1,5,6,9,1 5 6 9
Paul_Romatschke,1,5,6,9,1 5 6 9
Bikash_Padhi,1,3,7,8,1 3 7 8
Philip_W._Phillips,1,3,7,9,1 3 7 9
Chandan_Setty,3,7,8,9,3 7 8 9
Zhuo-Yu_Xian,3,7,8,9,3 7 8 9
Huitao_Shen,1,3,4,9,1 3 4 9
Ruihua_Fan,1,3,4,9,1 3 4 9
Hui_Zhai,1,3,4,12,1 3 4 12
Zhenhua_Zhou,1,2,5,9,1 2 5 9
Vaios_Ziogas,1,3,9,11,1 3 9 11
Jan_de_Boer,1,8,10,12,1 8 10 12
Jelle_Hartong,1,2,11,12,1 2 11 12
